2017-11-07 11:47:39 [main] INFO  com.miya.common.utils.FastDFSClient - 上传文件URL：group1/M00/00/00/CmrMDFoAbxuAC1zGAAAAKBszWac429.jpg
2017-11-07 11:53:56 [main] INFO  com.miya.common.utils.FastDFSClient - 上传文件URL：group1/M00/00/00/CmrMDFoAcJWABYvQAAAAKBszWac349.png
2017-11-07 11:55:03 [main] INFO  com.miya.common.utils.FastDFSClient - 上传文件URL：group1/M00/00/00/CmrMDFoAcNiAb3TmAAUbNfBOdMg841.jpg
2017-11-07 14:20:14 [main] INFO  com.miya.common.utils.FastDFSClient - 上传文件URL：group1/M00/00/00/CmrMDFoAhpmAT9kTAAUbNfBOdMg464.jpg
2017-11-07 14:37:34 [main] INFO  com.miya.common.utils.FastDFSClient - 上传文件URL：group1/M00/00/00/CmrMDFoAiqmAKFoVAAUbNfBOdMg022.jpg
2017-11-07 14:37:45 [main] INFO  org.springframework.context.annotation.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4dbb42b7: startup date [Tue Nov 07 14:37:45 CST 2017]; root of context hierarchy
2017-11-07 14:37:45 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
2017-11-07 14:37:45 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-11-07 14:37:45 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e54873c9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-07 14:37:46 [main] INFO  com.miya.MiyaManageApplication - No active profile set, falling back to default profiles: default
2017-11-07 14:37:46 [main] INFO  org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@2c7d121c: startup date [Tue Nov 07 14:37:46 CST 2017]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@4dbb42b7
2017-11-07 14:37:46 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'dataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Generic; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Generic.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]]
2017-11-07 14:37:47 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=097f07ca-8e8a-3688-86de-f19d013d3530
2017-11-07 14:37:47 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-11-07 14:37:47 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.sleuth.instrument.async.AsyncDefaultAutoConfiguration$DefaultAsyncConfigurerSupport' of type [org.springframework.cloud.sleuth.instrument.async.AsyncDefaultAutoConfiguration$DefaultAsyncConfigurerSupport$$EnhancerBySpringCGLIB$$6700e8f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
